# date,"from","nil",ct,mm_ea,gold,"item/subject",link
2018-08-10T11:10:33,"@ScabbiaDelirium","",30,74,2220,"Star Sapphire",|H0:item:81998:30:0:0:0:0:0:0:0:0:0:0:0:0:0:27:0:0:0:0:0|h|h
2018-08-10T11:10:33,"@ScabbiaDelirium","",4,124.0425531915,496,"Tainted Blood",|H0:item:76910:30:0:0:0:0:0:0:0:0:0:0:0:0:0:46:0:0:0:0:0|h|h
2018-08-10T11:10:33,"@ScabbiaDelirium","",4,331.5721784777,1326,"Tempered Brass",|H0:item:132617:30:0:0:0:0:0:0:0:0:0:0:0:0:0:65:0:0:0:0:0|h|h
2018-08-10T11:10:33,"@ScabbiaDelirium","",2,101.5333333333,203,"Tenebrous Cord",|H0:item:132618:30:0:0:0:0:0:0:0:0:0:0:0:0:0:66:0:0:0:0:0|h|h
2018-08-10T11:10:33,"@ScabbiaDelirium","",7,36.0833333333,253,"Viridian Dust",|H0:item:121521:30:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h
2018-08-10T11:10:33,"@ScabbiaDelirium","",2,486.4050387597,973,"Vitrified Malondo",|H0:item:137951:30:0:0:0:0:0:0:0:0:0:0:0:0:0:71:0:0:0:0:0|h|h
2018-08-10T11:10:26,"@ScabbiaDelirium","",2,nil,,"Oxblood Fungus",|H0:item:81994:30:0:0:0:0:0:0:0:0:0:0:0:0:0:39:0:0:0:0:0|h|h
2018-08-10T11:10:26,"@ScabbiaDelirium","",43,14.5600706714,626,"Palladium",|H0:item:46152:30:0:0:0:0:0:0:0:0:0:0:0:0:0:15:0:0:0:0:0|h|h
2018-08-10T11:10:26,"@ScabbiaDelirium","",3,73.6666666667,221,"Pearl Sand",|H0:item:81996:30:0:0:0:0:0:0:0:0:0:0:0:0:0:16:0:0:0:0:0|h|h
2018-08-10T11:10:26,"@ScabbiaDelirium","",24,nil,,"Polished Shilling",|H0:item:76914:30:0:0:0:0:0:0:0:0:0:0:0:0:0:41:0:0:0:0:0|h|h
2018-08-10T11:10:26,"@ScabbiaDelirium","",3,nil,,"Pristine Shroud",|H0:item:75373:30:0:0:0:0:0:0:0:0:0:0:0:0:0:31:0:0:0:0:0|h|h
